manaul,1V,2V,4V,6V,8V,Auto OUT 2 sec  ,1V,2V,4V,6V,8V,manaul,1 A,1.5 A,2  A,2.5 A,3 A,Auto OUT 2 sec  ,1 A,1.5 A,2  A,2.5 A,3 A
1,1.0010,2.0000,4.0000,6.0000,7.9990,1,1.0002,2.0004,3.9997,6.0006,7.9994,1,1.0002,1.5002,2.0001,2.5012,3.0024,1,1.0003713,1.5004882,2.0005817,2.5007615,3.0010492
2,1.0010,1.9990,4.0010,6.0010,8.0000,2,0.9997,2.0004,3.9997,6.0001,7.9994,2,1.0006,1.5007,2.0011,2.5018,3.0031,2,1.0003571,1.5004858,2.0005881,2.5007743,3.0010667
3,0.9990,2.0020,4.0010,6.0010,8.0000,3,1.0002,2.0009,4.0002,6.0006,8.0005,3,1.0008,1.5011,2.0014,2.5021,3.0032,3,1.0003385,1.5004509,2.0005421,2.5007217,3.0010045
4,1.0000,2.0020,3.9990,6.0010,7.9990,4,1.0013,2.0009,3.9997,6.0001,7.9999,4,1.0008,1.5010,2.0001,2.5020,3.0034,4,1.0003443,1.5004681,2.0005671,2.5007364,3.0010101
5,1.0000,2.0000,4.0000,6.0000,7.9990,5,1.0007,2.0009,4.0002,6.0006,7.9999,5,1.0009,1.5012,2.0015,2.5022,3.0034,5,1.0003598,1.5004813,2.0005846,2.5007661,3.0010588
6,0.9990,2.0000,3.9990,6.0000,7.9990,6,1.0007,2.0009,4.0002,6.0006,7.9999,6,1.0009,1.5012,2.0016,2.5025,3.0041,6,1.0003713,1.5004882,2.0005817,2.5007615,3.0010492
7,1.0000,2.0010,3.9990,6.0000,8.0000,7,1.0007,2.0009,3.9997,6.0001,7.9999,7,1.0011,1.5012,2.0017,2.5025,3.0037,7,1.0003571,1.5004858,2.0005881,2.5007743,3.0010667
8,1.0000,2.0010,3.9990,6.0000,7.9990,8,1.0002,2.0004,4.0002,6.0011,7.9999,8,1.0010,1.5013,2.0018,2.5027,3.0039,8,1.0003385,1.5004509,2.0005421,2.5007217,3.0010045
9,1.0000,2.0000,4.0010,6.0020,7.9909,9,1.0007,2.0009,4.0002,6.0006,7.9999,9,1.0008,1.5011,2.0016,2.5025,3.0038,9,1.0003443,1.5004681,2.0005671,2.5007364,3.0010101
10,0.9990,2.0000,3.9990,6.0000,8.0000,10,0.9997,2.0004,3.9992,6.0001,7.9999,10,1.0010,1.5013,2.0018,2.5027,3.0038,10,1.0003598,1.5004813,2.0005846,2.5007661,3.0010588
